lake,state,year,julian_day,julian_date,source,april_mean_temp,temp_comment,lyme_per_100k,lc
Lake Auburn,Maine,1807,,1807,USGS,,,,
Lake Auburn,Maine,1808,,1808,USGS,,,,
Lake Auburn,Maine,1809,,1809,USGS,,,,
Lake Auburn,Maine,1810,,1810,USGS,,,,
Lake Auburn,Maine,1811,,1811,USGS,,,,
Lake Auburn,Maine,1812,,1812,USGS,,,,
Lake Auburn,Maine,1813,,1813,USGS,,,,
Lake Auburn,Maine,1814,,1814,USGS,,,,
Lake Auburn,Maine,1815,,1815,USGS,,,,
Lake Auburn,Maine,1816,,1816,USGS,,,,
Lake Auburn,Maine,1817,,1817,USGS,,,,
Lake Auburn,Maine,1818,,1818,USGS,,,,
Lake Auburn,Maine,1819,,1819,USGS,,,,
Lake Auburn,Maine,1820,,1820,USGS,,,,
Lake Auburn,Maine,1821,,1821,USGS,,,,
Lake Auburn,Maine,1822,,1822,USGS,,,,
Lake Auburn,Maine,1823,,1823,USGS,,,,
Lake Auburn,Maine,1824,,1824,USGS,,,,
Lake Auburn,Maine,1825,,1825,USGS,,,,
Lake Auburn,Maine,1826,,1826,USGS,,,,
Lake Auburn,Maine,1827,,1827,USGS,,,,
Lake Auburn,Maine,1828,,1828,USGS,,,,
Lake Auburn,Maine,1829,,1829,USGS,,,,
Lake Auburn,Maine,1830,,1830,USGS,,,,
Lake Auburn,Maine,1831,,1831,USGS,,,,
Lake Auburn,Maine,1832,,1832,USGS,,,,
Lake Auburn,Maine,1833,,1833,USGS,,,,
Lake Auburn,Maine,1834,,1834,USGS,,,,
Lake Auburn,Maine,1835,,1835,USGS,,,,
Lake Auburn,Maine,1836,129,1836129,USGS,,,,
Lake Auburn,Maine,1837,120,1837120,USGS,,,,
Lake Auburn,Maine,1838,117,1838117,USGS,,,,
Lake Auburn,Maine,1839,108,1839108,USGS,,,,
Lake Auburn,Maine,1840,119,1840119,USGS,,,,
Lake Auburn,Maine,1841,120,1841120,USGS,,,,
Lake Auburn,Maine,1842,109,1842109,USGS,,,,
Lake Auburn,Maine,1843,126,1843126,USGS,,,,
Lake Auburn,Maine,1844,111,1844111,USGS,,,,
Lake Auburn,Maine,1845,122,1845122,USGS,,,,
Lake Auburn,Maine,1846,105,1846105,USGS,,,,
Lake Auburn,Maine,1847,130,1847130,USGS,,,,
Lake Auburn,Maine,1848,108,1848108,USGS,,,,
Lake Auburn,Maine,1849,104,1849104,USGS,,,,
Lake Auburn,Maine,1850,121,1850121,USGS,,,,
Lake Auburn,Maine,1851,111,1851111,USGS,,,,
Lake Auburn,Maine,1852,128,1852128,USGS,,,,
Lake Auburn,Maine,1853,112,1853112,USGS,,,,
Lake Auburn,Maine,1854,126,1854126,USGS,,,,
Lake Auburn,Maine,1855,125,1855125,USGS,,,,
Lake Auburn,Maine,1856,116,1856116,USGS,,,,
Lake Auburn,Maine,1857,111,1857111,USGS,,,,
Lake Auburn,Maine,1858,,1858,USGS,,,,
Lake Auburn,Maine,1859,120,1859120,USGS,,,,
Lake Auburn,Maine,1860,115,1860115,USGS,,,,
Lake Auburn,Maine,1861,115,1861115,USGS,,,,
Lake Auburn,Maine,1862,126,1862126,USGS,,,,
Lake Auburn,Maine,1863,123,1863123,USGS,,,,
Lake Auburn,Maine,1864,,1864,USGS,,,,
Lake Auburn,Maine,1865,,1865,USGS,,,,
Lake Auburn,Maine,1866,,1866,USGS,,,,
Lake Auburn,Maine,1867,,1867,USGS,,,,
Lake Auburn,Maine,1868,,1868,USGS,,,,
Lake Auburn,Maine,1869,,1869,USGS,,,,
Lake Auburn,Maine,1870,114,1870114,USGS,,,,
Lake Auburn,Maine,1871,106,1871106,USGS,,,,
Lake Auburn,Maine,1872,122,1872122,USGS,,,,
Lake Auburn,Maine,1873,121,1873121,USGS,,,,
Lake Auburn,Maine,1874,134,1874134,USGS,,,,
Lake Auburn,Maine,1875,126,1875126,USGS,,,,
Lake Auburn,Maine,1876,126,1876126,USGS,,,,
Lake Auburn,Maine,1877,110,1877110,USGS,,,,
Lake Auburn,Maine,1878,105,1878105,USGS,,,,
Lake Auburn,Maine,1879,128,1879128,USGS,,,,
Lake Auburn,Maine,1880,112,1880112,USGS,,,,
Lake Auburn,Maine,1881,113,1881113,USGS,,,,
Lake Auburn,Maine,1882,122,1882122,USGS,,,,
Lake Auburn,Maine,1883,121,1883121,USGS,,,,
Lake Auburn,Maine,1884,119,1884119,USGS,,,,
Lake Auburn,Maine,1885,118,1885118,USGS,,,,
Lake Auburn,Maine,1886,114,1886114,USGS,,,,
Lake Auburn,Maine,1887,126,1887126,USGS,,,,
Lake Auburn,Maine,1888,132,1888132,USGS,,,,
Lake Auburn,Maine,1889,107,1889107,USGS,,,,
Lake Auburn,Maine,1890,116,1890116,USGS,,,,
Lake Auburn,Maine,1891,117,1891117,USGS,,,,
Lake Auburn,Maine,1892,112,1892112,USGS,,,,
Lake Auburn,Maine,1893,125,1893125,USGS,,,,
Lake Auburn,Maine,1894,114,1894114,USGS,,,,
Lake Auburn,Maine,1895,113,1895113,USGS,,,,
Lake Auburn,Maine,1896,116,1896116,USGS,,,,
Lake Auburn,Maine,1897,116,1897116,USGS,,,,
Lake Auburn,Maine,1898,108,1898108,USGS,,,,
Lake Auburn,Maine,1899,120,1899120,USGS,,,,
Lake Auburn,Maine,1900,116,1900116,USGS,,,,
Lake Auburn,Maine,1901,105,1901105,USGS,,,,
Lake Auburn,Maine,1902,94,190294,USGS,,,,
Lake Auburn,Maine,1903,94,190394,USGS,,,,
Lake Auburn,Maine,1904,122,1904122,USGS,,,,
Lake Auburn,Maine,1905,113,1905113,USGS,,,,
Lake Auburn,Maine,1906,114,1906114,USGS,,,,
Lake Auburn,Maine,1907,120,1907120,USGS,,,,
Lake Auburn,Maine,1908,115,1908115,USGS,,,,
Lake Auburn,Maine,1909,110,1909110,USGS,,,,
Lake Auburn,Maine,1910,95,191095,USGS,,,,
Lake Auburn,Maine,1911,119,1911119,USGS,,,,
Lake Auburn,Maine,1912,114,1912114,USGS,,,,
Lake Auburn,Maine,1913,108,1913108,USGS,,,,
Lake Auburn,Maine,1914,114,1914114,USGS,,,,
Lake Auburn,Maine,1915,103,1915103,USGS,,,,
Lake Auburn,Maine,1916,113,1916113,USGS,,,,
Lake Auburn,Maine,1917,117,1917117,USGS,,,,
Lake Auburn,Maine,1918,114,1918114,USGS,,,,
Lake Auburn,Maine,1919,101,1919101,USGS,,,,
Lake Auburn,Maine,1920,118,1920118,USGS,,,,
Lake Auburn,Maine,1921,93,192193,USGS,,,,
Lake Auburn,Maine,1922,107,1922107,USGS,,,,
Lake Auburn,Maine,1923,118,1923118,USGS,,,,
Lake Auburn,Maine,1924,112,1924112,USGS,,,,
Lake Auburn,Maine,1925,99,192599,USGS,,,,
Lake Auburn,Maine,1926,122,1926122,USGS,,,,
Lake Auburn,Maine,1927,106,1927106,USGS,,,,
Lake Auburn,Maine,1928,111,1928111,USGS,,,,
Lake Auburn,Maine,1929,113,1929113,USGS,,,,
Lake Auburn,Maine,1930,104,1930104,USGS,,,,
Lake Auburn,Maine,1931,101,1931101,USGS,,,,
Lake Auburn,Maine,1932,111,1932111,USGS,,,,
Lake Auburn,Maine,1933,112,1933112,USGS,,,,
Lake Auburn,Maine,1934,113,1934113,USGS,,,,
Lake Auburn,Maine,1935,115,1935115,USGS,,,,
Lake Auburn,Maine,1936,105,1936105,USGS,,,,
Lake Auburn,Maine,1937,117,1937117,USGS,,,,
Lake Auburn,Maine,1938,109,1938109,USGS,,,,
Lake Auburn,Maine,1939,126,1939126,USGS,,,,
Lake Auburn,Maine,1940,127,1940127,USGS,,,,
Lake Auburn,Maine,1941,104,1941104,USGS,,,,
Lake Auburn,Maine,1942,108,1942108,USGS,,,,
Lake Auburn,Maine,1943,117,1943117,USGS,,,,
Lake Auburn,Maine,1944,120,1944120,USGS,,,,
Lake Auburn,Maine,1945,93,194593,USGS,,,,
Lake Auburn,Maine,1946,101,1946101,USGS,,,,
Lake Auburn,Maine,1947,108,1947108,USGS,,,,
Lake Auburn,Maine,1948,102,1948102,USGS,,,,
Lake Auburn,Maine,1949,100,1949100,USGS,,,,
Lake Auburn,Maine,1950,114,1950114,USGS,,,,
Lake Auburn,Maine,1951,99,195199,USGS,,,,
Lake Auburn,Maine,1952,111,1952111,USGS,,,,
Lake Auburn,Maine,1953,91,195391,USGS,44.8,Bangor INTL Airport,,
Lake Auburn,Maine,1954,109,1954109,USGS,42,Bangor INTL Airport,,
Lake Auburn,Maine,1955,107,1955107,USGS,42.4,Bangor INTL Airport,,
Lake Auburn,Maine,1956,120,1956120,USGS,40.2,Bangor INTL Airport,,
Lake Auburn,Maine,1957,108,1957108,USGS,43.7,Bangor INTL Airport,,
Lake Auburn,Maine,1958,107,1958107,USGS,44.8,Bangor INTL Airport,,
Lake Auburn,Maine,1959,114,1959114,USGS,43.7,Bangor INTL Airport,,
Lake Auburn,Maine,1960,122,1960122,USGS,42,Bangor INTL Airport,,
Lake Auburn,Maine,1961,121,1961121,USGS,40.8,Bangor INTL Airport,,
Lake Auburn,Maine,1962,113,1962113,USGS,41,Bangor INTL Airport,,
Lake Auburn,Maine,1963,110,1963110,USGS,41,Bangor INTL Airport,,
Lake Auburn,Maine,1964,117,1964117,USGS,42,Bangor INTL Airport,,
Lake Auburn,Maine,1965,112,1965112,USGS,38.9,Bangor INTL Airport,,
Lake Auburn,Maine,1966,110,1966110,USGS,39.6,Bangor INTL Airport,,
Lake Auburn,Maine,1967,119,1967119,USGS,38.6,Bangor INTL Airport,,
Lake Auburn,Maine,1968,105,1968105,USGS,45,Bangor INTL Airport,,
Lake Auburn,Maine,1969,114,1969114,USGS,39.4,Bangor INTL Airport,,
Lake Auburn,Maine,1970,117,1970117,USGS,40.6,Bangor INTL Airport,,
Lake Auburn,Maine,1971,121,1971121,USGS,38.7,Bangor INTL Airport,,
Lake Auburn,Maine,1972,127,1972127,USGS,38.9,Bangor INTL Airport,,
Lake Auburn,Maine,1973,107,1973107,USGS,43.5,Bangor INTL Airport,,
Lake Auburn,Maine,1974,100,1974100,USGS,42.4,Bangor INTL Airport,,
Lake Auburn,Maine,1975,119,1975119,USGS,39.5,Bangor INTL Airport,,
Lake Auburn,Maine,1976,108,1976108,USGS,45.2,Bangor INTL Airport,,
Lake Auburn,Maine,1977,109,1977109,USGS,40.6,Bangor INTL Airport,,
Lake Auburn,Maine,1978,118,1978118,USGS,40.4,Bangor INTL Airport,,
Lake Auburn,Maine,1979,113,1979113,USGS,43,Bangor INTL Airport,,
Lake Auburn,Maine,1980,104,1980104,USGS,42.8,Bangor INTL Airport,,
Lake Auburn,Maine,1981,89,198189,USGS,44.6,Bangor INTL Airport,,
Lake Auburn,Maine,1982,118,1982118,USGS,39.3,Bangor INTL Airport,,
Lake Auburn,Maine,1983,97,198397,USGS,45.2,Bangor INTL Airport,,
Lake Auburn,Maine,1984,111,1984111,USGS,43.5,Bangor INTL Airport,,
Lake Auburn,Maine,1985,94,198594,USGS,41.6,Bangor INTL Airport,,
Lake Auburn,Maine,1986,104,1986104,USGS,47.2,Bangor INTL Airport,,
Lake Auburn,Maine,1987,102,1987102,USGS,46.3,Bangor INTL Airport,,
Lake Auburn,Maine,1988,103,1988103,USGS,42.7,Bangor INTL Airport,,
Lake Auburn,Maine,1989,112,1989112,USGS,40.2,Bangor INTL Airport,,
Lake Auburn,Maine,1990,104,1990104,USGS,42.7,Bangor INTL Airport,,
Lake Auburn,Maine,1991,98,199198,USGS,45.1,Bangor INTL Airport,,
Lake Auburn,Maine,1992,101,1992101,USGS,39.9,Bangor INTL Airport,,
Lake Auburn,Maine,1993,111,1993111,USGS,43.1,Bangor INTL Airport,,
Lake Auburn,Maine,1994,113,1994113,USGS,43,Bangor INTL Airport,,
Lake Auburn,Maine,1995,104,1995104,USGS,41.2,Bangor INTL Airport,,
Lake Auburn,Maine,1996,100,1996100,USGS,43.2,Bangor INTL Airport,,
Lake Auburn,Maine,1997,114,1997114,USGS,40.9,Bangor INTL Airport,,
