lab_day,group_members,plot_or_transect,plot_transect_number,label,litter_depth(cm),notes
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,3m,8,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,6m,12,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,9m,20,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,3m,8,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,6m,5,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,9m,4,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,3m,12,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,6m,11.5,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,9m,12.5,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,1,13.5,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,2,9,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,3,13,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,4,13,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,5,4,Next to a tree
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,6,6,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,7,3,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,8,4,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,9,9,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,Random,10,6,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,1,15,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,2,15,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,3,5,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,4,1,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,5,10,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,6,23,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,7,5,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,8,13,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,9,19,
Tuesday,"Amelia, Tegan, Farrah, Celia",plot,Random,10,5,
