lab_day,group_members,plot_or_transect,plot_transect_ID,tree_number,circumference(cm),diameter(cm),deciduous_or_conifer,functional_group,notes
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,1,235,74.803,coniferous,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,1,2,160,50.93,coniferous,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",transect,1,3,38,12.096,deciduous ,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,1,25,7.958,deciduous ,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,2,160,50.93,deciduous ,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,2,3,30,9.549,deciduous ,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,1,225,71.62,coniferous,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,2,33,10.504,deciduous,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,3,29,9.231,deciduous,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Transect,3,4,195,62.07,coniferous,overstory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,1,1,25,7.958,deciduous,understory,
Tuesday,"Carly, Mariam, Sadie, and Carly",Plot,1,2,28,8.913,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,1,100,31.831,coniferous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,2,206,65.572,coniferous,overstory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,3,101,32.149,coniferous,overstory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,4,30,9.549,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,5,26,8.276,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,6,30,9.549,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,7,26,8.276,deciduous,understory,
Tuesday,"Farrah, Celia, Teagan, Amelia",Plot,1,8,29,9.231,deciduous,understory,
